,input,answer,predict,judge
0,死に化粧をし、耳と鼻に綿を詰められ、鼻の中にはもち米と高麗人参を詰められています　　　　　　　　　　,サムゲタンかよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
1,飲むなら…飲むな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,何にも飲んでもねー。乗るなら飲むな。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
2,エレベーターなしの30階建です。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,設計ミスじゃねか！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
3,棺桶は氷を入れた発泡スチロールでよろしかったですか？　　　　　　　　　　　　　　　　　　　　　　　　,魚かよ、非常識だろ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
4,おやつは1000円までです　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いや高いな　　　　　　 　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　       ,いいいだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
5,結婚には大事な袋が108つあります。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,多すぎるわ！3つて言われてるわ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
6,こんにちは！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,こんにちは！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
7,木島さん？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,児島だよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
8,叩くなよ、かけがえのない俺だぞ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,自分で言うなよ。それはこっちが決めんだよ。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
9,もしもし、田中のお宅ですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,何様だよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
10,日帰り地球一周ツアーはどうですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,月かよ！　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
11,話聞かなくいいんで、保険も入らなくていいです　　　　　　　　　　　　　　　　　　　　　　　　　　　　,じゃあ帰れよ！無駄な時間やん　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
12,うちで式を挙げたほとんどの方がリピーターになります。　　　　　　　　　　　　　　　　　　　　　　　　,ダメじゃねーかよ。それ。ここで結婚式挙げた奴、必ず別れるって言ってんだよ　　　　　　　　　　　　　　,いいだだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
13,近々、保険金殺人の予定とかはないですか？　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,ねぇよ！あっても言うかよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
14,昼休みになればなるほど。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,昼休みは1回しかこねーわ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,いいいだだだだだだだだだだだ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
15,これからは人生のパートタイマーとして。　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,パートナー！パートタイマー？！なんで一緒にいる時間、時給発生するんだよ。　　　　　　　　　　　　　　,いいいだだだだだだだだよ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,X
